record_id,customer_id,campaign_key,event,eventdate
1,25436,0.0,New Subscription,2018-06-20
2,25437,0.0,New Subscription,2018-06-20
3,25438,0.0,New Subscription,2018-06-20
4,25439,0.0,New Subscription,2018-06-20
5,25440,0.0,New Subscription,2018-06-20
6,25441,0.0,New Subscription,2018-06-20
7,25442,0.0,New Subscription,2018-06-20
8,25443,0.0,New Subscription,2018-06-20
9,25444,0.0,New Subscription,2018-06-20
10,25445,18060001.0,New Subscription,2018-06-20
11,25446,18060001.0,New Subscription,2018-06-20
12,25447,18060001.0,New Subscription,2018-06-20
13,25448,18060001.0,New Subscription,2018-06-20
14,25449,18060001.0,New Subscription,2018-06-20
15,25450,18060001.0,New Subscription,2018-06-20
16,25451,18060001.0,New Subscription,2018-06-20
17,25452,18060001.0,New Subscription,2018-06-20
18,25453,18060001.0,New Subscription,2018-06-20
19,25454,18060001.0,New Subscription,2018-06-20
20,25455,18060001.0,New Subscription,2018-06-20
21,25456,18060001.0,New Subscription,2018-06-20
22,25457,18060000.0,New Subscription,2018-06-20
23,25458,18060000.0,New Subscription,2018-06-20
24,25459,18060000.0,New Subscription,2018-06-20
25,25460,18060000.0,New Subscription,2018-06-20
26,25461,18060000.0,New Subscription,2018-06-20
27,25462,18060000.0,New Subscription,2018-06-20
28,25463,18060000.0,New Subscription,2018-06-20
29,25464,18060000.0,New Subscription,2018-06-20
30,25465,18060000.0,New Subscription,2018-06-20
31,25466,18060000.0,New Subscription,2018-06-20
32,25467,18060000.0,New Subscription,2018-06-20
33,25468,18060000.0,New Subscription,2018-06-20
34,25469,0.0,New Subscription,2018-06-21
35,25470,0.0,New Subscription,2018-06-21
36,25471,0.0,New Subscription,2018-06-21
37,25472,0.0,New Subscription,2018-06-21
38,25473,0.0,New Subscription,2018-06-21
39,25474,0.0,New Subscription,2018-06-21
40,25475,0.0,New Subscription,2018-06-21
41,25476,0.0,New Subscription,2018-06-21
42,25477,0.0,New Subscription,2018-06-21
43,25478,18060001.0,New Subscription,2018-06-21
44,25479,18060001.0,New Subscription,2018-06-21
45,25480,18060001.0,New Subscription,2018-06-21
46,25481,18060001.0,New Subscription,2018-06-21
47,25482,18060001.0,New Subscription,2018-06-21
48,25483,18060001.0,New Subscription,2018-06-21
49,25484,18060001.0,New Subscription,2018-06-21
50,25485,18060001.0,New Subscription,2018-06-21
51,25486,18060001.0,New Subscription,2018-06-21
52,25487,18060001.0,New Subscription,2018-06-21
53,25488,18060001.0,New Subscription,2018-06-21
54,25489,18060001.0,New Subscription,2018-06-21
55,25490,18060000.0,New Subscription,2018-06-21
56,25491,18060000.0,New Subscription,2018-06-21
57,25492,18060000.0,New Subscription,2018-06-21
58,25493,18060000.0,New Subscription,2018-06-21
59,25494,18060000.0,New Subscription,2018-06-21
60,25495,18060000.0,New Subscription,2018-06-21
61,25496,18060000.0,New Subscription,2018-06-21
62,25497,18060000.0,New Subscription,2018-06-21
63,25498,18060000.0,New Subscription,2018-06-21
64,25499,18060000.0,New Subscription,2018-06-21
65,25500,18060000.0,New Subscription,2018-06-21
66,25501,18060000.0,New Subscription,2018-06-21
67,25502,0.0,New Subscription,2018-06-22
68,25503,0.0,New Subscription,2018-06-22
69,25504,0.0,New Subscription,2018-06-22
70,25505,0.0,New Subscription,2018-06-22
71,25506,0.0,New Subscription,2018-06-22
72,25507,0.0,New Subscription,2018-06-22
